id	property_name	location	phone	map_link	property_type	furnishing	private_price	single_price	double_price	triple_price	starting_price	listing_type	is_available	created_at	updated_at	description	features	slug	is_deleted	avg_rating	review_count	city	last_verified_at	last_booked_at	last_review_at
1	Ashok PG Colive	Btm 1st stage	9663634346	https://maps.app.goo.gl/xGioX3jzEQHfy2wc7	PG	fully_furnished	NULL	9000.00	NULL	NULL	9000.00	rent	1	2026-01-31 13:04:30	2026-05-22 07:14:21	Experience comfortable living at Ashok PG Colive in Btm 1st stage. Fully furnished with modern amenities.	[wifi, power_backup, food, housekeeping, security, cctv, fingerprint, geyser, tv, refrigerator, washing machine, lift, terrace, common kitchen, bike parking, furniture, cupboards, attached bathroom, work desk, couple friendly]	NULL	0	NULL	0	bangalore	2026-05-16 11:07:38	NULL	NULL
2	Heaven coliving pg	Kadubeesanahalli	9666832111	https://maps.app.goo.gl/PX7S3UakFxZ8t5oQ9	PG	fully_furnished	NULL	NULL	NULL	NULL	13999.00	rent	1	2026-01-31 13:04:30	2026-05-22 07:14:21	Premium living space in Kadubeesanahalli. Ideal for professionals looking for comfort and convenience.	[wifi, power_backup, housekeeping, food, security, cctv, tv, refrigerator, washing machine, geyser, bike parking, terrace, lift, common kitchen, cupboards, furniture, attached bathroom, work desk, couple friendly, maintenance]	NULL	0	NULL	0	bangalore	2026-04-22 07:03:17	NULL	NULL
3	Chap & dona coliving	Munnekollal	7993556221	https://maps.app.goo.gl/bFjP7rZSGPzSMkZN6	PG	fully_furnished	NULL	22000.00	11000.00	NULL	9000.00	rent	1	2026-01-31 13:04:30	2026-05-22 07:14:21	Luxury coliving in Munnekollal with top-notch facilities. A perfect blend of style and comfort.	[wifi, power_backup, food, housekeeping, cctv, security, tv, refrigerator, washing machine, geyser, fingerprint, bike parking, terrace, lift, common kitchen, cupboards, attached bathroom, furniture, work desk, couple friendly]	NULL	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-09 05:29:40
4	Urban coliving pg	Munnekollal	7993556221	https://maps.app.goo.gl/FNSSgCTCGpMUvFdi9	PG	fully_furnished	NULL	22000.00	11000.00	NULL	11000.00	rent	1	2026-01-31 13:04:30	2026-05-22 07:14:21	Affordable and stylish coliving in Munnekollal. Designed for modern living.	[wifi, power_backup, food, cctv, housekeeping, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	NULL	0	NULL	0	bangalore	2026-05-16 11:07:38	NULL	NULL
5	Kings & queens colive(B)	Munnekollal	7993556221	https://maps.app.goo.gl/NbcVi6GvULbCYrmj8	PG	fully_furnished	NULL	22000.00	11000.00	NULL	10000.00	rent	1	2026-01-31 13:04:30	2026-05-22 07:14:21	Royal living experience in Munnekollal. Spacious rooms with premium furnishings.	[wifi, power_backup, food, housekeeping, security, cctv, tv, geyser, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, cupboards, furniture, attached bathroom, study table, couple friendly]	NULL	0	NULL	0	bangalore	2026-05-16 11:07:38	NULL	NULL
6	MK Comforts Co-Live	Kundanahalli	9620845586	https://maps.app.goo.gl/pnwm4D8XhgSd2uma9	PG	fully_furnished	NULL	16500.00	9000.00	7000.00	9001.00	rent	1	2026-01-31 13:04:30	2026-05-22 07:14:21	Comfortable and spacious PG in Kundanahalli. Great community and excellent services.	[wifi, power_backup, housekeeping, food, cctv, geyser, tv, refrigerator, washing machine, bike parking, lift, common kitchen, terrace, cupboards, attached bathroom, furniture, work desk, couple friendly]	NULL	1	NULL	0	bangalore	2026-04-22 07:03:17	NULL	NULL
7	Urban premium co living pg	Nallurahalli	9666120076	https://maps.app.goo.gl/rubnERvsVJt1qMpi6	PG	fully_furnished	NULL	21000.00	11000.00	NULL	NULL	buy	1	2026-01-31 13:04:30	2026-05-22 07:14:21	Premium co-living space in Nallurahalli. Experience the best in class living standards.	NULL	NULL	1	NULL	0	bangalore	2026-04-22 07:03:17	NULL	NULL
8	At Home premium co living pg	Bellandur	9849575475	https://maps.app.goo.gl/Cq9t9SpH8vH8k1k68	PG	fully_furnished	NULL	NULL	12000.00	9000.00	9000.00	rent	1	2026-01-31 13:04:30	2026-05-22 07:14:21	Feel at home in Bellandur with our premium amenities. Secure and peaceful environment.	[power_backup, wifi, food, housekeeping, cctv, security, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	NULL	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
9	Sgr Enclave Homes	Sarjapur	9849575475	https://maps.app.goo.gl/mobrcBykDqsvLQRE7	1BHK	fully_furnished	27000.00	NULL	NULL	NULL	NULL	buy	1	2026-01-31 13:04:30	2026-05-22 07:14:21	Spacious 1BHK in Sarjapur. Perfect for families or individuals looking for their own space.	NULL	NULL	1	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
10	Urban homes	Munnekollal	9849575475	https://maps.app.goo.gl/n3e2sFgDTnGPn9yi8	1RK	fully_furnished	17000.00	NULL	NULL	NULL	NULL	rent	1	2026-01-31 13:04:30	2026-05-22 07:14:21	Cozy 1RK studio in Munnekollal. Efficient and comfortable living solution.	NULL	NULL	1	NULL	0	NULL	2026-04-07 10:01:16	NULL	NULL
11	Test Property	Test Location	9876543210	NULL	1BHK	unfurnished	NULL	NULL	NULL	NULL	NULL	rent	1	2026-02-03 14:52:23	2026-05-22 07:14:21	This is a test property	NULL	NULL	1	NULL	0	NULL	2026-04-07 10:01:16	NULL	NULL
13	Test Decimal Prices PG	Test Location	9876543210	NULL	PG	fully_furnished	NULL	8500.50	6500.75	5000.25	NULL	rent	1	2026-02-03 15:10:21	2026-05-22 07:14:21	NULL	NULL	NULL	1	NULL	0	NULL	2026-04-07 10:01:16	NULL	NULL
65	Town Park ( Brooklyn) 2BHK	Attibele, Hosur Road, Bangalore	0000000000	NULL	2BHK	fully_furnished	NULL	NULL	NULL	NULL	NULL	buy	1	2026-03-20 05:42:17	2026-05-22 07:14:21	Resale	[]	NULL	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
66	Dream Garden 2BHK	Off Thanisandra Main Road, Bangalore	0000000000	NULL	2BHK	unfurnished	NULL	NULL	NULL	NULL	12500000.00	buy	1	2026-03-20 05:42:17	2026-05-22 07:14:21	NULL	[]	NULL	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
67	Godrej Woodscapes 3BHK	Budigere Cross, Old Madras Road, Bangalore	9999999999	NULL	3BHK	unfurnished	NULL	NULL	NULL	NULL	32000000.00	buy	1	2026-03-20 05:42:17	2026-05-22 07:14:21	RESALE	[terrace]	NULL	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
68	Premium Residential Plot	Upcoming Development Area	9999999999	NULL	Plot	unfurnished	NULL	NULL	NULL	NULL	3500000.00	buy	1	2026-03-20 05:42:17	2026-05-22 07:14:21	NULL	[]	NULL	0	NULL	0	bangalore	2026-04-30 06:57:50	NULL	NULL
69	Classic Gold House	BTM Layout - Stage 1, Bangalore	9035053319	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	14099.00	rent	1	2026-03-20 05:42:17	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, security, geyser, tv, refrigerator, washing machine, bike parking, pool, terrace, lift, common kitchen, cupboards, attached bathroom, furniture, study table, couple friendly]	NULL	0	2.00	1	bangalore	2026-04-18 10:23:52	NULL	NULL
71	Daisy House	BTM Layout 1st Stage, Bangalore	7619277789	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	12599.00	rent	1	2026-03-20 05:42:17	2026-05-22 07:14:21	NULL	[wifi, power_backup, housekeeping, food, security, geyser, tv, refrigerator, washing machine, bike parking, balcony, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, study table, couple friendly]	NULL	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
72	Golden Nest Colive	BTM Layout 1st Stage, Bangalore	8310005125	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	9099.00	rent	1	2026-03-20 05:42:18	2026-05-22 07:14:21	NULL	[wifi, power_backup, housekeeping, food, security, cctv, fingerprint, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, cupboards, attached bathroom, furniture, study table, couple friendly]	NULL	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
73	Lavender House	Bommanahalli, Bangalore	6366331789	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	13099.00	rent	1	2026-03-20 05:42:18	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, security, cctv, fingerprint, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	NULL	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-03-24 12:12:31
74	Iris House	Bommanahalli, Bangalore	9035053318	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	12099.00	rent	1	2026-03-20 05:42:18	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, security, cctv, fingerprint, tv, refrigerator, washing machine, geyser, bike parking, pool, terrace, lift, common kitchen, furniture, cupboards, attached bathroom, work desk, couple friendly]	NULL	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
75	Blossom House	Bommanahalli, Bangalore	9962031789	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	12099.00	rent	1	2026-03-20 05:42:18	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, security, cctv, fingerprint, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, cupboards, attached bathroom, furniture, work desk, couple friendly]	NULL	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
76	Lotus House	BTM Layout Stage 2, Bangalore	7899700929	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	15099.00	rent	1	2026-03-20 05:42:18	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, security, cctv, geyser, tv, refrigerator, washing machine, bike parking, lift, terrace, common kitchen, cupboards, attached bathroom, furniture, work desk, couple friendly]	NULL	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
77	Cherry Blossom	HSR Layout, Bangalore	9035942419	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	13099.00	rent	1	2026-03-20 05:42:18	2026-05-22 07:14:21	NULL	[wifi, power_backup, housekeeping, food, cctv, security, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, cupboards, attached bathroom, furniture, work desk, couple friendly]	NULL	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
78	Heaven Homes	Kadubeesanahalli, Bangalore	918150099911	NULL	1BHK	fully_furnished	NULL	NULL	NULL	NULL	33000.00	rent	1	2026-03-20 05:42:18	2026-05-22 07:14:21	NULL	[power_backup, cctv, tv, refrigerator, geyser, bike parking, terrace, common kitchen, furniture, cupboards, attached bathroom, work desk, couple friendly]	NULL	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-09 05:27:42
79	Urban living Homes	Kundalahalli, Bangalore	918150099911	NULL	1BHK	semi_furnished	NULL	NULL	NULL	NULL	25999.00	rent	1	2026-03-20 05:42:18	2026-05-22 07:14:21	NULL	[cctv, tv, refrigerator, washing machine, bike parking, terrace, common kitchen, cupboards, attached bathroom, furniture, work desk, couple friendly]	NULL	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-09 05:01:30
